396;Cosa stabilisce l’articolo 21- octies della L. n. 241/1990 in merito all’annullabilità del provvedimento amministrativo?;Il provvedimento è annullabile solo in presenza di vizi formali che influiscono sul contenuto decisionale.;Il provvedimento è automaticamente nullo.;Il provvedimento deve essere ritirato d’ufficio.;Il provvedimento può essere impugnato solo per incompetenza.;
397;In base alla L. n. 241/1990, cosa deve contenere la comunicazione personale dell’avvio del procedimento?;L’amministrazione competente, l’oggetto del procedimento e il nome del responsabile.;I termini per l’accesso agli atti.;La data di conclusione e l’elenco dei documenti allegati.;Le sanzioni previste in caso di inadempimento.;
398;Secondo la L. n. 241/1990, quando è consentito modificare le determinazioni espresse in una conferenza di servizi preliminare?;In presenza di significativi elementi emersi nel successivo procedimento.;Solo con il consenso di tutte le amministrazioni coinvolte.;In caso di richiesta del privato interessato.;Dopo aver acquisito un nuovo parere vincolante.;
399;Ai sensi dell’articolo 19 della L. n. 241/1990, qual è il termine entro cui l’amministrazione può adottare provvedimenti di divieto a seguito della presentazione della SCIA?;Entro sessanta giorni, salvo casi di eccezionale gravità.;Entro novanta giorni, con motivazione scritta.;Entro trenta giorni, salvo proroga.;Entro quarantacinque giorni, con comunicazione immediata.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
400;Quale disposizione della L. n. 241/1990 regola l’efficacia degli atti limitativi della sfera giuridica dei privati?;L’articolo 21-bis.;L’articolo 20-bis.;L’articolo 21-ter.;L’articolo 22-bis.;
401;Quale principio deve essere rispettato dalle amministrazioni nell’adozione di provvedimenti che attribuiscono vantaggi economici, ai sensi dell’articolo 12 della L. n. 241/1990?;La predeterminazione dei criteri e delle modalità.;La tutela della riservatezza dei beneficiari.;La parità di trattamento tra i soggetti pubblici.;La consultazione obbligatoria degli interessati.;
402;In base all’articolo 3 della L. n. 241/1990, cosa deve indicare la motivazione di un provvedimento amministrativo?;I presupposti di fatto e le ragioni giuridiche in relazione alle risultanze istruttorie.;Le condizioni di legittimità e i requisiti di trasparenza.;Gli elementi patrimoniali rilevanti per il procedimento.;Gli effetti previsti e le modalità di impugnazione.;
403;Quale rimedio è previsto in caso di inerzia amministrativa ai sensi della L. n. 241/1990?;La nomina di un commissario ad acta.;La sospensione automatica del dirigente competente.;La trasmissione del fascicolo all’organo di controllo.;L’automatico annullamento degli atti adottati in ritardo.;
404;Secondo la L. n. 241/1990, quali atti devono essere pubblicati obbligatoriamente dalle amministrazioni per garantire la trasparenza?;I provvedimenti amministrativi di maggiore impatto per cittadini e imprese.;Gli atti preparatori di ogni procedimento.;I pareri non vincolanti espressi dalle commissioni.;Gli atti di natura organizzativa interna.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
405;Cosa stabilisce l’articolo 21- decies della L. n. 241/1990 riguardo alla remissione di provvedimenti annullati dal giudice?;L’amministrazione può rinnovare l’atto entro i termini fissati dal giudice.;L’amministrazione deve acquisire un parere legale esterno.;L’atto deve essere riesaminato con procedura accelerata.;Il provvedimento è automaticamente nullo.;
406;Quali elementi devono essere pubblicati sul sito istituzionale ai sensi dell’articolo 2-bis della L. n. 241/1990?;I tempi effettivi di conclusione dei procedimenti di maggiore impatto.;I dati personali dei responsabili di procedimento.;Le motivazioni di eventuali dinieghi.;Gli atti di nomina dei responsabili dell’ufficio.;
407;Quale obbligo hanno le amministrazioni in caso di modifica degli accordi integrativi o sostitutivi, secondo l’articolo 11 della L. n. 241/1990?;Motivare adeguatamente ogni variazione per tutelare i diritti dei terzi.;Acquisire il consenso degli interessati.;Pubblicare un avviso di modifica sul proprio sito istituzionale.;Trasmettere la variazione agli organi di vigilanza.;
408;Secondo l’articolo 6 della L. n. 241/1990, quale tra le seguenti è una delle principali funzioni del responsabile del procedimento?;Valutare le condizioni di ammissibilità e i requisiti di legittimazione.;Emettere il provvedimento conclusivo.;Assumere decisioni vincolanti in merito alle istanze di accesso.;Redigere un parere preliminare sui procedimenti complessi.;
409;Cosa comporta l’inosservanza dolosa o colposa dei termini di conclusione del procedimento, secondo l’articolo 2-bis della L. n. 241/1990?;Il diritto al risarcimento del danno ingiusto subito dal richiedente.;La revoca immediata del responsabile del procedimento.;La sospensione del procedimento per ulteriori trenta giorni.;La necessità di avviare un nuovo procedimento.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
410;Qual è la conseguenza della mancata comunicazione dell’avvio del procedimento ai soggetti interessati, secondo l’articolo 7 della L. n. 241/1990?;La possibilità per il destinatario di far valere tale omissione solo se la comunicazione è a lui destinata.;La nullità del provvedimento finale.;L’obbligo di ripetere l’intera fase istruttoria.;La sospensione del termine di conclusione del procedimento.;
411;Ai sensi dell’articolo 9 della L. n. 241/1990, chi può intervenire in un procedimento amministrativo?;Qualunque soggetto portatore di interessi pubblici o privati, nonché i portatori di interessi diffusi costituiti in associazioni o comitati.;Solamente i soggetti coinvolti formalmente nella procedura.;Gli enti locali competenti per territorio.;Gli organi di vigilanza amministrativa.;
412;Qual è l’effetto dell’adozione di un provvedimento successivamente all’ultimo termine utile previsto, ai sensi dell’articolo 21-nonies della L. n. 241/1990?;L’inefficacia del provvedimento stesso.;La sospensione degli effetti del provvedimento.;La possibilità di impugnazione del provvedimento entro 30 giorni.;L’obbligo di comunicazione al Consiglio di Stato.;
413;Cosa stabilisce l’articolo 16 della L. n. 241/1990 in merito all’attività consultiva?;Le amministrazioni pubbliche acquisiscono i pareri necessari per la formazione del provvedimento finale.;Le amministrazioni devono acquisire il parere solo in presenza di motivi ostativi.;I pareri sono obbligatori solo se richiesti dai privati.;I pareri devono essere acquisiti entro 60 giorni dall’avvio del procedimento.;
414;Secondo l’articolo 22 della L. n. 241/1990, quali soggetti hanno diritto di accesso ai documenti amministrativi?;Tutti coloro che abbiano un interesse diretto, concreto e attuale, corrispondente ad una situazione giuridicamente tutelata.;Solamente i soggetti destinatari del provvedimento finale.;Tutti i cittadini maggiorenni.;Le associazioni di categoria riconosciute.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
415;Quali sono le principali conseguenze della mancata indicazione dei termini e dell’autorità cui è possibile ricorrere, in base all’articolo 3 della L. n. 241/1990?;La mancata decorrenza dei termini per l’impugnazione del provvedimento.;La nullità del provvedimento.;L’inefficacia del provvedimento a tutela degli interessati.;La sospensione dell’esecutività dell’atto.;
416;In base all’articolo 21-sexies della L. n. 241/1990, cosa comporta il recesso unilaterale dell’amministrazione da un contratto stipulato?;L’obbligo di liquidare un indennizzo in relazione agli eventuali pregiudizi verificatisi in danno del privato.;La decadenza automatica di tutti i diritti acquisiti dai privati.;La sospensione dell’efficacia del contratto per un periodo di trenta giorni.;La necessità di avviare un nuovo procedimento amministrativo.;
417;Qual è l’obiettivo dell’articolo 18 della L. n. 241/1990 in merito all’autocertificazione?;Semplificare la documentazione richiesta ai cittadini e ridurre i tempi del procedimento.;Garantire una maggiore trasparenza amministrativa.;Agevolare il controllo sulla legittimità degli atti.;Facilitare l’accesso ai documenti riservati.;
418;Secondo l’articolo 14 della L. n. 241/1990, quando deve essere indetta la conferenza di servizi decisoria?;Quando la conclusione positiva del procedimento è subordinata all’acquisizione di più atti di assenso.;Quando l’amministrazione procedente rileva l’esistenza di un conflitto di competenza.;Solo su richiesta del privato interessato.;Solo in caso di procedimenti di elevata complessità tecnica.;
419;In che modo viene disciplinata la sospensione dei termini per l’acquisizione di pareri o nulla osta, ai sensi della L. n. 241/1990?;La sospensione può avvenire una sola volta e per un periodo massimo di trenta giorni.;La sospensione è concessa solo per procedimenti a rilevanza nazionale.;La sospensione può essere prorogata su richiesta motivata.;La sospensione è possibile solo previo parere del responsabile del procedimento.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
420;Quali elementi caratterizzano la comunicazione dei motivi ostativi all’accoglimento dell’istanza, secondo l’articolo 10-bis della L. n. 241/1990?;Deve essere tempestiva, motivata e indicare i rimedi esperibili.;Deve essere inviata tramite raccomandata con ricevuta di ritorno.;Deve includere la trascrizione completa degli atti istruttori.;Deve essere approvata dall’organo di controllo competente.;
421;Ai sensi dell’articolo 27 della L. n. 241/1990, quale compito è attribuito alla Commissione per l’accesso ai documenti amministrativi?;Assicurare la piena attuazione del diritto di accesso e vigilare sul rispetto delle disposizioni normative.;Approvare i regolamenti interni delle amministrazioni.;Verificare la conformità dei provvedimenti adottati dagli enti locali.;Emettere pareri vincolanti in caso di controversie.;
422;Cosa comporta l’inosservanza del termine di conclusione del procedimento per il dirigente responsabile, secondo l’articolo 2, comma 9, della L. n. 241/1990?;Elemento di valutazione della performance e di responsabilità disciplinare.;Necessità di ripetere l’intera procedura.;Inefficacia automatica del provvedimento.;Obbligo di invio degli atti al Consiglio di Stato.;
423;In quale caso il responsabile del procedimento può procedere alla rettifica di dichiarazioni o istanze incomplete, secondo l’articolo 6 della L. n. 241/1990?;Quando rileva l’errore durante la fase istruttoria e può ordinarne la rettifica.;Solo dopo aver ricevuto un’istanza di correzione da parte dell’interessato.;A condizione che vi sia una richiesta formale da parte di un terzo.;Solo previa autorizzazione dell’organo di vigilanza.;
424;Secondo l’articolo 11 della L. n. 241/1990, quale tra le seguenti è una caratteristica degli accordi sostitutivi di provvedimenti?;Sono soggetti agli stessi controlli previsti per i provvedimenti sostituiti.;Sono immediatamente esecutivi.;Non richiedono una specifica motivazione.;Devono essere confermati dall’organo di vigilanza competente.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
425;Qual è l’effetto dell’inosservanza del termine massimo stabilito per la conclusione del procedimento, ai sensi dell’articolo 2 della L. n. 241/1990?;La mancata o tardiva emanazione del provvedimento costituisce elemento di responsabilità disciplinare.;La decadenza automatica dell’istanza.;La sospensione dell’efficacia degli atti successivi.;L’annullamento di tutti gli atti compiuti nel procedimento.;
426;Ai sensi dell’articolo 2-bis della L. n. 241/1990, cosa comporta l’inosservanza del termine di conclusione del procedimento ad istanza di parte?;Il diritto dell’istante di ottenere un indennizzo per il mero ritardo.;L’obbligo di ripresentare l’istanza.;La sospensione del procedimento fino a chiarimento.;La necessità di attivare un procedimento sanzionatorio interno.;
427;Secondo l’articolo 17 della L. n. 241/1990, cosa deve fare l’amministrazione in caso di mancato rispetto dei termini per l’acquisizione delle valutazioni tecniche?;Procedere senza di esse e concludere il procedimento.;Sospendere il procedimento per un massimo di trenta giorni.;Annullare l’istruttoria e ripetere l’intera procedura.;Pubblicare un avviso di proroga nel proprio sito istituzionale.;
428;Qual è la finalità dell’articolo 21-bis della L. n. 241/1990 in merito all’efficacia del provvedimento limitativo della sfera giuridica dei privati?;Stabilire che l’efficacia decorre dalla comunicazione o notificazione dell’atto.;Prevedere la necessità di un’autorizzazione espressa.;Consentire la revoca del provvedimento entro trenta giorni.;Imporre l’approvazione da parte dell’organo di controllo.;
